student_id,group_id,round_id,question_set_id,question_order,question_id,difficulty,topic,question_type,question_text,original_answer,original_saved_at,selected_for_discussion,revised_answer,revised_saved_at,correct_answer,rationale
student_035,group_12,Round 1,group_12_d_r1,1,Q018,6,Collider / d-separation,MCQ,Graph: A -> C <- B and C -> D. Which conditioning choice opens a path between A and B?,D,29:11.7,FALSE,,,D,A collider blocks the path unless the collider or a descendant of the collider is conditioned on.
student_035,group_12,Round 1,group_12_d_r1,2,Q033,4,Observed association,MCQ,"In an observational dataset, the treated mean outcome is 0.40 and the untreated mean outcome is 0.55. What is the naive treated-minus-untreated difference?",A,29:11.7,FALSE,,,A,0.40 - 0.55 = -0.15.
student_035,group_12,Round 1,group_12_d_r1,3,Q026,3,Consistency,MCQ,Which example most directly illustrates a possible consistency problem?,B,29:11.7,FALSE,,,B,Consistency requires treatment versions to be well-defined; multiple versions with different effects make the causal question ambiguous.
student_035,group_12,Round 1,group_12_d_r1,4,Q020,3,Potential outcomes,MCQ,A quiz question is randomly selected for peer discussion (X=1) and is answered correctly (Y=1). Which potential outcome is observed for that question-student unit?,A,29:11.7,FALSE,,,A,"When X=1, the factual potential outcome is Y^1."
student_035,group_12,Round 1,group_12_d_r1,5,Q003,4,Potential outcomes,Numeric,"For four units, Y^1 = (1, 0, 1, 1) and Y^0 = (0, 0, 1, 0). What is the ATE?",1,29:11.7,FALSE,,,0.5,"E[Y^1]=3/4 and E[Y^0]=1/4, so ATE=0.50."
student_035,group_12,Round 1,group_12_d_r1,6,Q006,6,Back-door adjustment,MCQ,"Graph: Z -> X, Z -> Y, X -> M, M -> Y. You want the total effect of X on Y. Which adjustment set is best?",,29:11.7,TRUE,B,41:10.0,B,"Z blocks the back-door path X <- Z -> Y. M lies on the causal pathway X -> M -> Y, so adjusting for M would block part of the total effect."
student_035,group_12,Round 2,group_12_d_r2,1,Q010,4,Mediation,MCQ,Graph: X -> M -> Y. You want the total effect of X on Y. Should you adjust for M?,B,50:48.9,FALSE,,,B,"For a total effect, conditioning on a mediator blocks part of the effect of X on Y."
student_035,group_12,Round 2,group_12_d_r2,2,Q035,5,Causal language / study design,MCQ,"Why is it misleading to simply say 'RCTs are causal, observational studies are never causal'?",B,50:48.9,FALSE,,,B,"Causal modeling asks when causal effects can be learned from data, not just whether a study is labeled randomized or observational."
student_035,group_12,Round 2,group_12_d_r2,3,Q016,4,DAG basics / SCM intuition,MCQ,"What does it mean, in this lecture context, to say that DAGs are non-parametric?",A,50:48.9,FALSE,,,A,"A DAG specifies causal parent relations, not whether those relations are linear, nonlinear, additive, etc."
student_035,group_12,Round 2,group_12_d_r2,4,Q013,2,Potential outcomes,True/False,A causal effect can be defined as a contrast between potential outcomes.,A,50:48.9,TRUE,B,55:55.1,A,"In the potential-outcomes framework, causal effects compare outcomes under different treatment levels."
